day,day_of_week,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20160701,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160702,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160703,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160704,Monday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160705,Tuesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160706,Wednesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160707,Thursday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160708,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160709,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160710,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160711,Monday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160712,Tuesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160713,Wednesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160714,Thursday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160715,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160716,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160717,Sunday,6,0,3,2,1,NA,NA,NA,NA,NA
20160718,Monday,15,6,4,5,0,4,1,0,3,0
20160719,Tuesday,16,9,5,2,0,4,2,0,2,0
20160720,Wednesday,9,3,4,2,0,NA,NA,NA,NA,NA
20160721,Thursday,9,5,3,0,1,3,2,1,0,0
20160722,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160723,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160724,Sunday,5,0,5,0,0,NA,NA,NA,NA,NA
20160725,Monday,13,9,2,2,0,2,1,0,0,1
20160726,Tuesday,13,6,4,1,2,7,5,1,1,0
20160727,Wednesday,9,6,2,1,0,1,1,0,0,0
20160728,Thursday,14,2,10,2,0,4,3,0,1,0
20160729,Friday,3,0,3,0,0,0,0,0,0,0
20160730,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
